@relation kaggle

@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute e numeric
@attribute f numeric
@attribute g numeric
@attribute h numeric
@attribute i numeric
@attribute j numeric

@data
-0.104241,0.23479,0.214288,0.314028,0.172340,-1.055431,-0.195078,1.334595,0.874802,-0.743909
0.192011,-0.03215,0.452567,-0.877078,0.261718,0.273364,0.371178,0.920367,0.18881,0.173161
0.624046,-2.426761,0.178724,0.711352,1.066121,-1.055431,-1.025587,0.99267,1.934972,-0.270999
0.056229,0.124874,0.136047,0.14974,0.17234,0.730137,-0.081827,-0.385086,0.032902,0.850189
-0.017834,-2.426761,0.278304,0.506662,0.17234,1.020811,0.597681,0.203298,-0.185368,0.697197
0.290762,0.077766,0.118265,0.275805,0.261718,0.190314,1.050686,-0.746426,-0.372457,-0.271228
0.463576,0.109171,0.224957,-1.411178,0.261718,0.107265,0.220177,0.446534,0.251173,0.101179
0.47592,-0.338346,0.047137,-0.000972,0.976743,-0.723232,-1.365341,0.137868,1.46725,0.273146
-0.314087,-0.024299,-1.681275,0.307284,0.261718,-0.972381,-0.232828,0.953839,0.344717,-0.647987
0.117948,0.171981,0.217845,1.738109,0.261718,1.602159,0.748682,-0.24778,-0.123005,1.102153
-0.449869,-0.291239,0.434785,-0.068824,0.261718,0.647088,0.673182,-0.56697,0.282354,0.318437
-2.573011,0.069915,0.246296,-3.018853,0.082961,-2.550325,0.220177,0.648241,-3.334697,-2.295332
0.142636,-0.142067,0.246296,0.789259,-1.347089,1.228436,0.673182,0.346234,-0.029461,0.835843
0.09326,-0.212727,0.260522,-0.527256,0.261718,0.024215,0.673182,0.219316,0.531806,-0.217522
0.031541,-2.426761,0.37077,0.77977,0.17234,1.35301,0.824183,0.116278,0.064084,0.841304
0.09326,-1.680899,0.356544,0.180532,0.17234,0.231839,0.257927,-0.291174,0.282354,0.193498
0.216699,-0.189174,0.352988,-2.20129,0.261718,-0.266459,-2.950858,-1.649223,-1.214356,-1.855694
-0.264711,-0.126364,0.235627,0.176773,0.261718,0.356414,0.069175,-0.001573,-1.214356,0.418507
0.352481,0.211237,0.306755,-0.946242,0.17234,-0.307984,0.786433,-0.411938,-0.590727,-0.571702
0.389513,0.556689,0.431229,-1.955514,0.082961,-1.346105,0.069175,-2.606713,-1.619716,-1.145309
0.179667,-0.330495,0.530808,-0.314183,0.082961,-0.681707,0.182426,0.178116,0.313536,-0.591123
-0.486901,-0.259834,-3.210528,0.221798,0.351096,-1.22153,-0.006326,1.1936,-0.466001,-0.995235
-0.22768,0.289748,0.132491,-0.234783,0.261718,0.024215,-0.006326,-0.127735,0.562987,0.15081
0.698109,-0.306942,-0.03466,0.062642,0.976743,-0.141884,-1.440842,0.554795,1.903791,0.927366
0.229043,-0.000745,0.171611,-0.002793,0.261718,-0.349509,0.55993,0.217607,-0.185368,-0.49391
-0.030178,0.093469,0.235627,1.206186,0.261718,0.522513,-0.006326,0.179281,0.594169,0.596043
0.006853,0.462474,-0.016878,0.649795,-1.347089,0.273364,0.144676,0.482977,0.001721,0.290277
0.130292,0.062064,0.505913,0.417148,-1.168333,-0.058835,0.257927,0.314781,0.469443,-0.073077
-0.22768,0.085618,0.239183,-0.523467,0.261718,-1.055431,-0.157328,-0.005495,-0.216549,-0.778303
1.043737,-0.401156,0.473906,0.506215,0.261718,-0.183409,0.295677,0.788711,-0.715453,-0.193388
0.25373,0.219088,0.14316,0.720541,0.261718,-0.557133,0.031425,0.561396,-0.466001,-0.400218
-0.017834,-0.440412,0.267634,1.39515,0.261718,0.356414,-0.006326,1.35038,0.469443,0.477589
0.080916,-0.244132,0.45968,0.426726,0.261718,-0.183409,-0.119577,0.277504,0.219991,0.011333
-0.00549,-0.259834,0.367214,-0.156667,0.261718,0.522513,0.408929,-0.339926,-0.247731,0.362595
0.907954,-0.330495,0.132491,1.039033,0.887365,-1.38763,-1.25209,0.224985,-0.247731,-0.497081
-0.079554,0.187683,-0.070224,0.211236,0.261718,1.062336,-0.195078,-0.926348,-0.341275,1.228527
0.105604,-0.149918,0.438342,0.934659,0.261718,0.273364,0.182426,0.722718,0.126447,0.263718
-0.301743,0.352558,0.288973,1.638181,0.261718,0.06574,0.333428,0.932424,0.032902,-0.007522
-0.153617,-0.03215,0.271191,0.057241,0.261718,-0.640182,0.106925,0.592655,0.219991,-0.511571
0.31545,-0.047852,0.14316,-0.574788,0.261718,0.190314,0.52218,0.447796,0.157628,0.00686
-0.16596,-0.267686,0.256965,0.051662,0.261718,0.730137,0.333428,-0.427587,-0.216549,0.598851
0.019197,-0.424709,0.33165,0.137655,-0.006417,-0.058835,0.220177,0.141188,-0.029461,-0.06353
0.426544,0.588093,0.160942,-0.889699,0.261718,0.356414,0.257927,1.283824,0.313536,0.294701
0.241386,-0.110662,0.324537,-0.772226,0.261718,0.024215,0.257927,-1.237383,-0.154186,-0.002917
0.117948,0.069915,0.338762,-1.296004,0.261718,-1.38763,0.106925,0.613274,1.24898,-1.189901
-0.00549,-0.660245,0.345875,-0.270589,0.261718,-0.307984,-0.044076,-1.927718,-1.71326,-0.112329
