@relation train

@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute e numeric
@attribute f numeric
@attribute g numeric
@attribute h numeric
@attribute i numeric
@attribute j numeric
@attribute class {0,1,2,3,4,5}

@data
0.09326,-0.055704,0.068476,0.305076,0.261718,-0.515608,0.371178,-0.526236,-0.715453,-0.529039,0
0.192011,0.242641,0.164499,0.576722,0.261718,0.190314,0.295677,0.577646,-0.060642,0.126797,0
0.019197,-0.605286,0.502357,0.181368,0.17234,0.273364,0.673182,0.189746,-0.216549,-0.00716,0
0.229043,-0.354049,0.182281,0.210878,0.261718,0.480988,-2.573354,-0.56066,-0.154186,-1.611794,0
0.130292,0.077766,-0.045329,0.285383,-0.095795,0.356414,0.899684,0.434419,0.126447,-0.053548,0
0.648733,0.242641,-0.045329,-0.444157,0.261718,0.647088,0.408929,-1.113882,-0.43482,0.479578,0
0.389513,0.556689,0.431229,-1.955514,0.082961,-0.474083,0.069175,0.156701,-0.902542,-0.348742,0
0.031541,-0.09496,-0.031104,0.803253,0.261718,0.688613,0.371178,0.626321,0.18881,0.524218,0
0.192011,-0.03215,0.452567,-0.877078,0.261718,-0.10036,0.408929,0.309384,0.531806,-0.189783,0
0.09326,0.2976,-0.013322,0.1091,0.261718,2.308081,0.371178,-1.412142,-0.933723,1.969652,0
0.117948,-0.220579,0.367214,0.914608,0.261718,0.024215,0.144676,0.784401,0.375899,0.070885,0
1.37702,-0.063555,0.349432,0.40572,0.17234,1.726734,0.371178,-0.486454,-0.185368,1.45127,0
0.09326,-0.267686,0.168055,-0.383884,0.261718,-0.01731,-0.157328,-0.595937,0.251173,0.195788,0
0.216699,-2.08916,0.424116,-0.457525,0.082961,-0.723232,-2.913108,-1.069188,-1.775623,-2.13166,0
-0.042522,-0.236281,-3.210528,-0.272051,0.261718,1.975883,0.182426,-0.298979,0.375899,1.817408,0
1.21655,0.156278,-0.013322,0.353593,0.17234,1.519109,0.295677,-0.567397,-0.559546,1.332008,0
0.068573,0.226939,0.01513,-0.609818,-1.078955,1.020811,0.333428,-0.809875,-0.216549,0.84656,0
0.105604,-0.087108,0.367214,1.522618,0.261718,1.186911,0.635431,0.574967,0.656532,0.81758,0
-0.128929,0.022808,0.19295,0.837775,0.261718,0.896237,0.106925,0.170602,0.251173,0.88281,0
0.056229,-0.730905,0.441898,0.183695,0.261718,1.685209,0.52218,-0.591821,-0.154186,1.319049,0
